title,type,release_date,label,producer,artists,lyrics,composers,arrangers,tracklist
Zekkeika, Single,08/12/2010,,,Edogawa Paradox,,,,
Zeitgeist, Digital Mini-Album,01/10/2021,Team McLab,Luminant Entertainment,Mc Rap,,,,
zeitgeist, Album,30/11/2013,,,THE NOVEMBERS,,,,
ZeitgeisT, Album,01/04/2009,Daiki Sound,,Shinjou Kasumi,,,,
ZeitGeist, Album,23/10/2009,,,GOTHIKA,,,,
Zeitakubyou, Album,21/11/2007,Aer-born / A-Sketch,Victor Entertainment (1972),ONE OK ROCK,"Taka [ONE OK ROCK],Toru [ONE OK ROCK]","Alex [ONE OK ROCK],ONE OK ROCK,Ryota [ONE OK ROCK],Taka [ONE OK ROCK],Tomoya [ONE OK ROCK],Toru [ONE OK ROCK]","Hiraide Satoru,Korenaga Koichi,ONE OK ROCK",
Zeitaku na Hone, Digital Single,03/12/2015,MARVELOUS!,,österreich,,,,
Zeeny's, Album,21/12/2005,J's Entertainment,CJ MUSIC,Shim Eun Jin,"Ahn Seong Il,Dye,Jeong Jin Seon","Ahn Seong Il,AND (K-R&B),Atmo Sphere,Kang Wu Hyeon","Ahn Seong Il,AND (K-R&B)",
Zeelum Aphalis Smitael, Demo Tape,25/07/2008,,,Arkha Sva,,,,
ZAZEN BOYS 4, Album,17/09/2008,Matsuri Studio,,ZAZEN BOYS,,,,
Zazen Boys, Album,10/01/2004,Matsuri Studio,Daiki Sound,ZAZEN BOYS,,,,
ZAZA Travel, Album,28/03/2007,,,ZAZA (Thaï-Pop),,,,
Zawa... Zawa... Za.. Zawa...... Zawa, Single,16/11/2005,VAP,VAP,MAXIMUM THE HORMONE,Kawakita Ryo,,MAXIMUM THE HORMONE,
Zau Mut Waa Bou, Digital Single,07/05/2013,Sun Entertainment Culture (Hong Kong),,Fiona Sit,Chan Wing Him,,Fergus Chow,
Zatsuon Shakai, Single,2005,,,Gazelle,,,,
zatracenie, Album,07/07/2007,,,matryoshka,,,,
Zassou Yori [Limited Edition / Type B], Single,15/11/2017,MASTERSIX FOUNDATION,Sony Music Entertainment Japan,Kamiji Yusuke,,,,
Zassou Yori [Limited Edition / Type A], Single,15/11/2017,MASTERSIX FOUNDATION,Sony Music Entertainment Japan,Kamiji Yusuke,,,,
Zassou Yori, Single,15/11/2017,MASTERSIX FOUNDATION,Sony Music Entertainment Japan,Kamiji Yusuke,,,,
Zassou no Uta [Limited Edition], Single,02/02/2011,zetima,Sony Music Entertainment Japan,Buono!,"Iwasato Yuho,Sonoda Ryoji","AKIRASTAR,HA.,Inoue Shinjiroh","AKIRASTAR,Doi Manao,Inoue Shinjiroh",
Zassou no Uta, Single,02/02/2011,zetima,Sony Music Entertainment Japan,Buono!,"Iwasato Yuho,Sonoda Ryoji","AKIRASTAR,HA.,Inoue Shinjiroh","AKIRASTAR,Doi Manao,Inoue Shinjiroh",
Zassou Damashii Namen na yo! [mora Edition], Digital Single,03/03/2021,MAGES.,MAGES.,Yamazaki Taiki (acteur),"Narimoto Tomomi,Yamazaki Taiki (acteur)","Narimoto Tomomi,Yamazaki Taiki (acteur),yasushi","Gasa Yasuhiro,Igarashi Satoshi,Nagatsuka Kento (compositeur)",
Zassou Damashii Namen na yo! [CD+DVD], Single,03/03/2021,MAGES.,MAGES.,Yamazaki Taiki (acteur),"Narimoto Tomomi,Yamazaki Taiki (acteur)","Narimoto Tomomi,Yamazaki Taiki (acteur),yasushi","Gasa Yasuhiro,Igarashi Satoshi,Nagatsuka Kento (compositeur)",
Zassou Damashii Namen na yo! (Half Size), Digital Single,11/01/2021,MAGES.,MAGES.,Yamazaki Taiki (acteur),Narimoto Tomomi,,Gasa Yasuhiro,
Zassou Damashii Namen na yo!, Single,03/03/2021,MAGES.,MAGES.,Yamazaki Taiki (acteur),"Narimoto Tomomi,Yamazaki Taiki (acteur)","Narimoto Tomomi,Yamazaki Taiki (acteur),yasushi","Gasa Yasuhiro,Igarashi Satoshi,Nagatsuka Kento (compositeur)",
Zassou / Ashiato, Single,22/01/2003,tearbridge records,,Road of Major,,,,
Zasetsu Chiten, Single,12/09/2007,avex trax,,misono,misono,,Hinata Hidekazu,
Zarinagi 5, Album,05/02/2003,,,Fed MUSIC,,,,
Zaregoto [Limited Edition], DVD,16/05/2018,J Storm,Sony Music Entertainment Japan,Shima Shigeko,,,,
Zaregoto, DVD,16/05/2018,J Storm,Sony Music Entertainment Japan,Shima Shigeko,,,,
ZARD tribute II [Limited Edition], Tribute Album,07/10/2020,GIZA studio,Being,SARD UNDERGROUND,,"Izumi Kazuya,Kuribayashi Seiichiroh,Oda Tetsuro,Ohno Aika","Abe Tomoki,Asai Hiroshi,Nagato Daiko,Tsurusawa Yumeto",
ZARD tribute II, Tribute Album,07/10/2020,GIZA studio,Being,SARD UNDERGROUND,,"Izumi Kazuya,Kuribayashi Seiichiroh,Oda Tetsuro,Ohno Aika","Abe Tomoki,Asai Hiroshi,Nagato Daiko,Tsurusawa Yumeto",
ZARD tribute, Tribute Album,18/09/2019,GIZA studio,J-DISC Being,SARD UNDERGROUND,,,,
ZARD SINGLE COLLECTION ~20th ANNIVERSARY~, Best Album,10/02/2011,J-DISC Being,,ZARD,"Sakai Izumi [ZARD],Show Wesugi","Deguchi Masayuki,Haruhata Michiya,Iwai Yuichiro,Kawashima Daria,Kitano Masato,Kuribayashi Seiichiroh,Matsukawa Toshiya,Miyoshi Makoto,Oda Tetsuro,Ohno Aika,Okamoto Hitoshi,Ozawa Masazumi,Sakai Izumi [ZARD],Shiojiri Kenji,Terao Hiroshi,Tokunaga Akihito,Watanuki Masaaki,Yonezawa Mitsuyoshi","Akashi Masao,Cybersound,Furui Hirohito,Hayama Takeshi,Ikeda Daisuke,Kobayashi Satoru,Masui Isao,Oda Tetsuro,Ohga Yoshinobu,Okamoto Hitoshi,Ozawa Masazumi,SCHON,Shiojiri Kenji,Terao Hiroshi,Tokunaga Akihito,Watanuki Masaaki,ZARD",
ZARD Crusing & Live, Live Album,26/01/2000,,,ZARD,Sakai Izumi [ZARD],"Haruhata Michiya,Iwai Yuichiro,Kawashima Daria,Kuribayashi Seiichiroh,Oda Tetsuro,Tokunaga Akihito","Akashi Masao,Furui Hirohito,Hayama Takeshi,Ikeda Daisuke,Shiojiri Kenji,Tokunaga Akihito",
ZARD BLEND ll ~LEAF & SNOW~, Best Album,21/11/2001,B-Gram Co.,,ZARD,Sakai Izumi [ZARD],"Kawashima Daria,Kuribayashi Seiichiroh,Oda Tetsuro","Akashi Masao,Hayama Takeshi,Ikeda Daisuke,Oda Tetsuro,Tokunaga Akihito",
ZARD BLEND ~SUN & STONE~, Best Album,23/04/1997,B-Gram Co.,,ZARD,Sakai Izumi [ZARD],"Haruhata Michiya,Kawashima Daria,Kuribayashi Seiichiroh,Oda Tetsuro","Akashi Masao,Hayama Takeshi,Ikeda Daisuke",
ZARD BEST The Single Collection ~Kiseki~, Best Album,28/05/1999,B-Gram Co.,,ZARD,"Sakai Izumi [ZARD],Show Wesugi","Deguchi Masayuki,Haruhata Michiya,Kuribayashi Seiichiroh,Oda Tetsuro,Ozawa Masazumi,Tokunaga Akihito","Akashi Masao,Hayama Takeshi,Ikeda Daisuke,Tokunaga Akihito",
ZARD BEST ~Request Memorial~, Best Album,15/05/1999,B-Gram Co.,,ZARD,"Sakai Izumi [ZARD],Show Wesugi","Kawashima Daria,Kuribayashi Seiichiroh,Mochizuki Eisuke,Oda Tetsuro,Watanuki Masaaki","Akashi Masao,Furui Hirohito,Hayama Takeshi,Ikeda Daisuke,Oda Tetsuro,Watanuki Masaaki",
Zarazara, Single,30/11/2016,Aniplex,Sony Music Entertainment Japan,Hanazawa Kana,,,,
Zarathustra, Digital Single,05/02/2013,NIPPON COLUMBIA (2010),NIPPON COLUMBIA (2010),HiGE,Sato Hisashi,,HiGE,
ZARA ZARA TEXTURE, Album,25/02/2003,,,DOBERMAN (groupe),,,,
Zankyou Komoriuta, Single,01/11/1983,,,Misora Hibari,,,,
Zankyou Karma, Digital Single,27/10/2016,Kobasolo,,Kobasolo,,,,
Zankyou, Single,18/09/2013,Alab Records,,STEREO.C.K,,,,
zankyo record compilation [Disc-2], Compilation,20/08/2008,,,"3nd,9mm Parabellum Bullet,Apnea (J-Rock),Naan,te',texas pandaa",,,,
zankyo record compilation [Disc-1], Compilation,20/08/2008,,,"AFRICAEMO,cinema staff,mudy on the sakuban,People In The Box,Perfect Piano Lesson,rururu",,,,
ZANKYO LEGION [Limited Edition], Album,08/12/2010,Lantis,Bandai Visual,Shoujo Byo,,,,
ZANKYO LEGION, Album,08/12/2010,Lantis,Bandai Visual,Shoujo Byo,,,,
Zankyo, Album,30/06/2009,UNIVERSAL J,Universal Music Japan (2),Fukuyama Masaharu,,,,
Zankokubou, Mini-Album,24/05/2000,Soleil,,Veill,,,,
Zankoku yo Kibou to Nare, Single,08/08/2007,Lantis,Bandai Visual,Yuhki Aira,Hata Aki,,Nijine,
Zankoku Shangri-La / BLOODY KISS / Gyokuza no GEMINI, Single,06/10/2021,Aniplex,Aniplex,"ECLIPSE [Visual Prison],LOS†EDEN,O★Z",Agematsu Noriyasu,,"Fujinaga Ryutaro,Takeda Yusuke [Elements Garden]",
Zankoku Shangri-La / BLOODY KISS (TV Size Version), Digital Single,06/10/2021,Aniplex,Aniplex,"LOS†EDEN,O★Z",Agematsu Noriyasu,,"Fujinaga Ryutaro,Takeda Yusuke [Elements Garden]",
Zankoku na Yume to Nemure [Limited Edition], Single,27/01/2021,Lantis,BANDAI NAMCO Arts,Kuribayashi Minami,Hata Aki,,Kikuta Daisuke (compositeur),
Zankoku na Yume to Nemure, Single,27/01/2021,Lantis,BANDAI NAMCO Arts,Kuribayashi Minami,Hata Aki,,Kikuta Daisuke (compositeur),
Zankoku na Tenshi no Thesis MATSURI SPIRIT, Single,24/07/2019,King Amusement Creative,King Records,Takahashi Yoko (chanteuse),Oikawa Neko,,Omori Toshiyuki,
Zankoku na Tenshi no Thesis 2009 VERSION, Single,13/05/2009,King Records,,Takahashi Yoko (chanteuse),"Oikawa Neko,Takahashi Yoko (chanteuse)","Mori Daisuke,Sato Hidetoshi","Mori Daisuke,Omori Toshiyuki",
Zankoku na Tenshi no Thesis / Tamashii no Refrain, Single,20/06/2018,King Amusement Creative,King Records,Takahashi Yoko (chanteuse),Oikawa Neko,"Omori Toshiyuki,Sato Hidetoshi",Omori Toshiyuki,
Zankoku na Tenshi no Thesis / FLY ME TO THE MOON, Single,25/10/1995,Starchild Records,,"CLAIRE,Takahashi Yoko (chanteuse)","Bart Howard,Oikawa Neko","Bart Howard,Sato Hidetoshi",Omori Toshiyuki,
Zankoku na Tenshi no Thesis, Single,25/10/1995,Starchild Records,King Records,Takahashi Yoko (chanteuse),Oikawa Neko,"Omori Toshiyuki,Sato Hidetoshi",Omori Toshiyuki,
Zankoku na Tenshi no Teeze, Digital Single,22/06/2011,,,A -Anonymous Confederate Ensemble-,,,,
Zange Soushitsu, Single,30/01/1999,,,Phobia,,,,
Zange no Hanamichi, Single,21/05/2014,Crown Tokuma,,D=OUT,,,,
Zange no asa ni..., Demo Tape,26/03/1998,,,Eliphas Levi,,,,
Zange / Kesou, Demo Tape,27/12/2003,,,Dazzle Vision,,,,
Zange, Demo Tape,15/08/2001,,,NIGHTMARE (Japon),,,,
Zangai, Single,08/01/2003,BMG Funhouse,BMG Funhouse,BUCK-TICK,"Imai Hisashi,Sakurai Atsushi",,,
Zang Zang, Album,27/04/2015,Independent Issue Records,,Chiu-Pi,,,,
Zang Mi - Mu Ren Zhi Ge, Album,17/07/2011,,,Rong Zhong Er Jia,,,,
Zanbara, Single,22/02/2010,Johnny's Entertainment,Sony Music Entertainment Japan,Kondo Masahiko,,,,
Zan Ngo Zoeng Baak Zi, Album,01/06/2002,Universal Music Hong Kong,,Cecilia Cheung,,,,
Zan Cyan [Limited Edition], Album,21/06/2006,SPEEDSTAR RECORDS,Victor Entertainment (1972),Cocco,Cocco,,"Negishi Takamune,Osada Susumu",
Zan Cyan, Album,21/06/2006,SPEEDSTAR RECORDS,Victor Entertainment (1972),Cocco,Cocco,,"Negishi Takamune,Osada Susumu",
Zan, Album,08/06/2011,,,Ninjaman Japan,,,,
Zai Ci Xun Zhao Zhou Jie Lun, Album,18/01/2015,Peaceful Music,,Richael Liu,,,,
ZACRO, Mini-Album,25/11/2009,Daiki Sound,,Awoi,,,,
Zab Mike, Digital Single,17/09/2019,GMM Grammy,GMM Grammy,Mike Piromporn,,,,
Za☆gin no NAON, Single,27/07/2011,,,CindyKate,,,,
Za-Gaïjin, Album,05/02/2007,,,AZIAN Z,,,,
Za from New York TV Commercial Song, Single,1999,,,Karen Mok,,,,
Z.TAO, Digital Mini-Album,19/08/2015,Huang Z.Tao Studio,,Z.Tao,,,,
Z.Hera Born, Mini-Album,13/05/2013,Artisans Music,CJ E&M,Z.Hera,"Ham Seung Hyo,Jeong Chang Wuk,Kyung Da Som,Park Yu Gyeong","Ham Seung Hyo,Jeong Chang Wuk,Yu Jae Jun","Ham Seung Hyo,Jeong Chang Wuk,Yu Jae Jun",
Z-ONE [Limited Edition], Album,16/05/2018,Lantis,BANDAI NAMCO Arts,ZAQ,ZAQ,"suzumu,ZAQ","R・O・N,Tada Akifumi,ZAQ,ZiNG",
Z-ONE, Album,16/05/2018,Lantis,BANDAI NAMCO Arts,ZAQ,ZAQ,"suzumu,ZAQ","R・O・N,Tada Akifumi,ZAQ,ZiNG",
Z-HARD, Album,28/02/2001,cutting edge,,Janne da Arc,Yasu (J-rock),,,
Z Z Z, Digital Single,12/07/2017,DMAKER Entertainment,LOEN Entertainment,Limesoda,"Shin Kung,WONDERKID","Shin Kung,WONDERKID","Shin Kung,WONDERKID",
Z scream !, Digital Single,27/10/2021,Ki/oon Music,Sony Music Labels,THIS IS JAPAN,,,,
Z Densetsu ~Owarinaki Kakumei~, Single,06/07/2011,Starchild Records,King Records,Momoiro Clover Z,Hyadain,,Hyadain,
Z - Toki wo Koete / Mizu no Hoshi e Ai wo Komete, Single,08/06/2005,Starchild Records,King Records,"Ayukawa Mami,Moriguchi Hiroko","Neil Sedaka,Ryu Machiko,Urino Masao",,"Makaino Koji,Watanabe Hiroya",
Z, Digital Single,10/04/2020,UNDERCLOUD,WUZO Entertainment,"Bluedayboy,TimeFeveR",,,,
Z, Album,14/02/2002,Sony Records,Sony Music Entertainment Japan,ZONE,"Isshiki Soran,Kusunose Takuya,Machida Norihiko,ZONE","Abe Yasuhiro (1966),Haneoka Kei,Hara Kazuhiro (compositeur),KAIDO,Machida Norihiko,Mizushima Yasutaka","Abe Yasuhiro (1966),Atsumi Rei,CHOKKAKU,KAIDO,Miyanaga Jiro,Nakamura Jin,Torajirou",
